연번,수송일자,호선,역번호,역명,승하차구분,승객유형,인원수
103,2023-01-11,9,4126,언주역,승차,청소년,154
104,2023-01-11,9,4126,언주역,승차,무임권,1157
105,2023-01-11,9,4126,언주역,승차,정기권,242
106,2023-01-11,9,4126,언주역,하차,일반,11012
107,2023-01-11,9,4126,언주역,하차,어린이,50
108,2023-01-11,9,4126,언주역,하차,청소년,147
109,2023-01-11,9,4126,언주역,하차,무임권,1204
110,2023-01-11,9,4126,언주역,하차,정기권,249
111,2023-01-12,9,4126,언주역,승차,일반,10757
112,2023-01-12,9,4126,언주역,승차,어린이,65
113,2023-01-12,9,4126,언주역,승차,청소년,170
114,2023-01-12,9,4126,언주역,승차,무임권,1099
115,2023-01-12,9,4126,언주역,승차,정기권,242
116,2023-01-12,9,4126,언주역,하차,일반,11043
117,2023-01-12,9,4126,언주역,하차,어린이,65
118,2023-01-12,9,4126,언주역,하차,청소년,164
119,2023-01-12,9,4126,언주역,하차,무임권,1053
120,2023-01-12,9,4126,언주역,하차,정기권,259
121,2023-01-13,9,4126,언주역,승차,일반,11366
122,2023-01-13,9,4126,언주역,승차,어린이,64
123,2023-01-13,9,4126,언주역,승차,청소년,161
124,2023-01-13,9,4126,언주역,승차,무임권,1036
125,2023-01-13,9,4126,언주역,승차,정기권,248
126,2023-01-13,9,4126,언주역,하차,일반,11253
127,2023-01-13,9,4126,언주역,하차,어린이,47
128,2023-01-13,9,4126,언주역,하차,청소년,135
129,2023-01-13,9,4126,언주역,하차,무임권,1007
130,2023-01-13,9,4126,언주역,하차,정기권,244
131,2023-01-14,9,4126,언주역,승차,일반,5660
132,2023-01-14,9,4126,언주역,승차,어린이,95
133,2023-01-14,9,4126,언주역,승차,청소년,220
134,2023-01-14,9,4126,언주역,승차,무임권,907
135,2023-01-14,9,4126,언주역,승차,정기권,93
136,2023-01-14,9,4126,언주역,하차,일반,5675
137,2023-01-14,9,4126,언주역,하차,어린이,91
138,2023-01-14,9,4126,언주역,하차,청소년,209
139,2023-01-14,9,4126,언주역,하차,무임권,881
140,2023-01-14,9,4126,언주역,하차,정기권,106
141,2023-01-15,9,4126,언주역,승차,일반,3310
142,2023-01-15,9,4126,언주역,승차,어린이,94
143,2023-01-15,9,4126,언주역,승차,청소년,202
144,2023-01-15,9,4126,언주역,승차,무임권,530
145,2023-01-15,9,4126,언주역,승차,정기권,44
146,2023-01-15,9,4126,언주역,하차,일반,3308
147,2023-01-15,9,4126,언주역,하차,어린이,96
148,2023-01-15,9,4126,언주역,하차,청소년,182
149,2023-01-15,9,4126,언주역,하차,무임권,569
150,2023-01-15,9,4126,언주역,하차,정기권,47
151,2023-01-16,9,4126,언주역,승차,일반,10694
152,2023-01-16,9,4126,언주역,승차,어린이,59
153,2023-01-16,9,4126,언주역,승차,청소년,167
154,2023-01-16,9,4126,언주역,승차,무임권,1072
155,2023-01-16,9,4126,언주역,승차,정기권,213
156,2023-01-16,9,4126,언주역,하차,일반,10904
157,2023-01-16,9,4126,언주역,하차,어린이,60
158,2023-01-16,9,4126,언주역,하차,청소년,149
159,2023-01-16,9,4126,언주역,하차,무임권,1005
160,2023-01-16,9,4126,언주역,하차,정기권,240
161,2023-01-17,9,4126,언주역,승차,일반,10906
162,2023-01-17,9,4126,언주역,승차,어린이,44
163,2023-01-17,9,4126,언주역,승차,청소년,141
164,2023-01-17,9,4126,언주역,승차,무임권,1077
165,2023-01-17,9,4126,언주역,승차,정기권,257
166,2023-01-17,9,4126,언주역,하차,일반,11162
167,2023-01-17,9,4126,언주역,하차,어린이,48
168,2023-01-17,9,4126,언주역,하차,청소년,137
169,2023-01-17,9,4126,언주역,하차,무임권,1063
170,2023-01-17,9,4126,언주역,하차,정기권,257
171,2023-01-18,9,4126,언주역,승차,일반,10918
172,2023-01-18,9,4126,언주역,승차,어린이,62
173,2023-01-18,9,4126,언주역,승차,청소년,167
174,2023-01-18,9,4126,언주역,승차,무임권,1077
175,2023-01-18,9,4126,언주역,승차,정기권,225
176,2023-01-18,9,4126,언주역,하차,일반,11143
177,2023-01-18,9,4126,언주역,하차,어린이,54
178,2023-01-18,9,4126,언주역,하차,청소년,165
179,2023-01-18,9,4126,언주역,하차,무임권,1049
180,2023-01-18,9,4126,언주역,하차,정기권,254
181,2023-01-19,9,4126,언주역,승차,일반,11161
182,2023-01-19,9,4126,언주역,승차,어린이,69
183,2023-01-19,9,4126,언주역,승차,청소년,176
184,2023-01-19,9,4126,언주역,승차,무임권,1071
185,2023-01-19,9,4126,언주역,승차,정기권,226
186,2023-01-19,9,4126,언주역,하차,일반,11296
187,2023-01-19,9,4126,언주역,하차,어린이,69
188,2023-01-19,9,4126,언주역,하차,청소년,158
189,2023-01-19,9,4126,언주역,하차,무임권,1030
190,2023-01-19,9,4126,언주역,하차,정기권,228
191,2023-01-20,9,4126,언주역,승차,일반,10064
192,2023-01-20,9,4126,언주역,승차,어린이,64
193,2023-01-20,9,4126,언주역,승차,청소년,128
194,2023-01-20,9,4126,언주역,승차,무임권,978
195,2023-01-20,9,4126,언주역,승차,정기권,197
196,2023-01-20,9,4126,언주역,하차,일반,9727
197,2023-01-20,9,4126,언주역,하차,어린이,55
198,2023-01-20,9,4126,언주역,하차,청소년,131
199,2023-01-20,9,4126,언주역,하차,무임권,913
200,2023-01-20,9,4126,언주역,하차,정기권,215
201,2023-01-21,9,4126,언주역,승차,일반,2070
202,2023-01-21,9,4126,언주역,승차,어린이,25
203,2023-01-21,9,4126,언주역,승차,청소년,56
204,2023-01-21,9,4126,언주역,승차,무임권,288
205,2023-01-21,9,4126,언주역,승차,정기권,35
